horse_name,evaluation,venue,race_name,horse_heads,horse_number,popularity,jockey,jockey_winning_percentage,distance,horse_weight,horse_weight_diff,winning_percentage,order
モンドクラッセ,3.00,金沢,白山大賞典(G3),12,9,2,Ｍ．デム,49.641577,2100,517,-1,40.000000,0
モンドクラッセ,3.00,1札幌6,エルムS(G3),12,11,1,柴山雄一,23.407730,1700,518,-2,40.000000,1
モンドクラッセ,3.00,1東京8,フェブラリーS(G1),16,9,10,田辺裕信,34.758364,1600,526,-2,40.000000,0
モンドクラッセ,3.00,1中京4,東海テレビ杯東海S(G2),12,10,2,田辺裕信,34.758364,1800,528,-6,40.000000,1
モンドクラッセ,3.00,5京都2,みやこS(G3),11,3,2,三浦皇成,29.865125,1800,534,+12,40.000000,0
モンドシャルナ,2.50,5阪神7,ラジオNIKKEI杯(G3),16,11,2,福永祐一,42.548190,2000,440,-6,26.470588,0
モンパルナス,0.00,1中京8,高松宮記念(G1),18,11,16,赤木高太,34.545455,1200,436,0,40.740741,0
モンパルナス,0.00,2京都4,シルクロードS(G3),16,10,7,佐藤哲三,44.827586,1200,436,-4,40.740741,0
モンパルナス,0.00,4京都7,毎日放送賞スワンS(G2),16,9,12,松永幹夫,39.393939,1400,436,0,40.740741,0
モンパルナス,0.00,2中京8,中スポ賞ファルコンS(G3),17,18,3,松永幹夫,39.393939,1200,430,0,40.740741,1
モンパルナス,0.00,2阪神6,桜花賞(G1),17,8,6,松永幹夫,39.393939,1600,424,-4,40.740741,0
モンパルナス,0.00,1阪神6,フィリーズレビュー(G2),16,2,3,松永幹夫,39.393939,1400,428,+6,40.740741,1
モーヴサファイア,2.29,2東京10,優駿牝馬(G1),18,5,13,北村友一,31.281198,2400,490,-2,42.857143,0
モーヴサファイア,2.29,2新潟10,新潟2歳S(G3),15,2,1,石橋脩,26.295082,1600,496,+12,42.857143,0
モーニン,3.64,1阪神2,阪急杯(G3),18,14,6,浜中俊,38.606307,1400,538,+6,55.555556,0
モーニン,3.64,5阪神7,阪神C(G2),18,13,13,岩田康誠,37.735110,1400,532,+6,55.555556,0
モーニン,3.64,5東京3,東京中日S杯武蔵野S(G3),16,14,4,横山典弘,33.800127,1600,526,-1,55.555556,0
モーニン,3.64,船橋,日本テレビ盃(G2),11,9,2,戸崎圭太,44.275057,1800,527,+8,55.555556,0
モーニン,3.64,浦和,さきたま杯(G2),12,2,2,Ｃ．ルメ,41.666667,1400,519,+1,55.555556,1
モーニン,3.64,船橋,かしわ記念(G1),10,3,3,Ｃ．ルメ,41.666667,1600,518,-2,55.555556,1
モーニン,3.64,1東京8,フェブラリーS(G1),16,6,3,ムーア,50.814332,1600,520,-6,55.555556,0
モーニン,3.64,4中京2,チャンピオンズC(G1),15,15,5,戸崎圭太,44.275057,1800,526,0,55.555556,0
モーニン,3.64,5東京3,東京中日S杯武蔵野S(G3),16,9,1,戸崎圭太,44.275057,1600,526,+1,55.555556,0
モーニン,3.64,船橋,日本テレビ盃(G2),13,5,3,戸崎圭太,44.275057,1800,525,+15,55.555556,1
モーニン,3.64,船橋,かしわ記念(G1),12,11,1,Ｍ．デム,49.641577,1600,510,-12,55.555556,0
モーニン,3.64,1東京8,フェブラリーS(G1),16,14,2,Ｍ．デム,49.641577,1600,522,-4,55.555556,1
モーニン,3.64,1東京2,根岸S(G3),16,15,1,戸崎圭太,44.275057,1400,526,+10,55.555556,1
モーニン,3.64,5東京3,東京中日S杯武蔵野S(G3),14,5,1,川田将雅,46.226415,1600,516,-4,55.555556,1
ヤマイチジャスティ,3.50,3東京6,ユニコーンS(G3),16,3,11,大野拓弥,24.953875,1600,470,0,31.818182,0
ヤマカツエース,3.88,2中京2,金鯱賞(G2),9,1,3,池添謙一,29.917250,2000,522,+12,41.379310,0
ヤマカツエース,3.88,5中山8,有馬記念(G1),16,1,6,池添謙一,29.917250,2500,510,+4,41.379310,0
ヤマカツエース,3.88,5東京8,ジャパンC(G1),17,16,12,池添謙一,29.917250,2400,506,+2,41.379310,0
ヤマカツエース,3.88,4東京9,天皇賞(秋)(G1),18,5,7,池添謙一,29.917250,2000,504,-4,41.379310,0
