日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/04/28,園田,晴,1,C3三, ,10,8,9,75.7,9,10,宮下康一,54,ダ1400,良,**,1:37.6,2.7,**,6-6-7-8, ,43.6,415(-3), , ,コーネルレインボー, 
2017/04/06,園田,曇,1,C3四, ,7,2,2,44.9,7,7,高畑皓一,54,ダ1400,良,**,1:36.0,1.7,**,6-6-6-7, ,42.7,418(+2), , ,ピルケンハンマー, 
2017/03/14,園田,曇,1,C3四, ,10,7,7,58.4,9,4,小山裕也,54,ダ1400,良,**,1:37.7,0.6,**,5-5-5-5, ,42.7,416(+1), , ,ノイエヴェルト,1.6
2017/03/02,園田,晴,1,C3三, ,9,4,4,130.7,9,6,高畑皓一,54,ダ1400,重,**,1:36.8,2.9,**,5-5-5-4, ,42.9,415(-7), , ,グラウラー, 
2017/02/15,園田,晴,1,C3三, ,10,7,7,72.5,7,5,宮下康一,54,ダ1400,良,**,1:36.4,1.9,**,4-4-5-4, ,42.3,422(0), , ,コウエイリョウマ,1.2
2017/01/31,園田,晴,2,C3三, ,10,7,7,229.9,10,10,高畑皓一,54,ダ1400,良,**,1:38.8,3.7,**,7-7-10-10, ,43.9,422(+3), , ,コスモオレオ, 
2017/01/09,園田,曇,3,C3二, ,10,3,3,450.3,10,10,小山裕也,54,ダ1400,不,**,1:36.2,5.4,**,10-10-10-10, ,40.9,419(-3), , ,アンジュバーグ, 
2016/12/30,園田,晴,1,C3三, ,9,8,8,140.9,9,9,宮下康一,54,ダ1400,稍,**,1:36.4,4.1,**,7-7-9-9, ,42.8,422(-1), , ,マーブルメーカー, 
2016/12/08,園田,晴,1,C3三, ,9,2,2,231.2,9,9,高畑皓一,54,ダ1400,稍,**,1:38.1,2.9,**,4-4-7-8, ,44.1,423(0), , ,ウィリアムボーイ, 
2016/11/17,園田,晴,1,C3三, ,10,5,5,69.4,8,9,宮下康一,54,ダ1400,良,**,1:37.0,3.6,**,8-8-9-10, ,42.7,423(0), , ,ディベルティード, 
2016/11/01,園田,晴,1,C3二, ,10,8,9,72.8,7,9,宮下康一,54,ダ1400,良,**,1:37.5,2.7,**,2-2-6-9, ,42.8,423(-2), , ,タカノコウモン, 
2016/10/14,園田,晴,1,C3二, ,8,1,1,116.4,8,8,宮下康一,54,ダ1400,良,**,1:36.5,1.6,**,4-4-8-8, ,42.2,425(+4), , ,ムーンカプチーノ, 
2016/09/28,園田,曇,1,C3四, ,10,8,9,48.8,7,9,竹村達也,54,ダ1400,不,**,1:34.7,3.0,**,8-10-10-10, ,40.3,421(+1), , ,ユノカルアミルク, 
2016/09/14,園田,曇,5,C3, ,10,8,10,106.7,9,7,宮下康一,54,ダ1400,稍,**,1:36.1,3.5,**,8-8-8-8, ,42.0,420(0), , ,ヒマラヤキンラン, 
2016/09/02,園田,晴,1,C3二, ,9,8,8,31.1,6,8,宮下康一,54,ダ1400,良,**,1:38.4,4.0,**,8-8-9-9, ,42.0,420(+2), , ,ワキノアタリ, 
2016/08/19,園田,晴,3,C3, ,9,4,4,131.9,9,9,竹村達也,54,ダ1400,良,**,1:36.0,2.2,**,7-7-8-9, ,41.5,418(+1), , ,トウカイエンプレス, 
2016/08/03,園田,晴,1,C3三, ,10,8,9,24.8,7,6,板野央,54,ダ1400,良,**,1:36.9,0.7,**,1-1-1-1, ,40.7,417(0), , ,エスケイタイガー, 
2016/07/22,園田,晴,3,C3, ,10,3,3,81.5,9,8,板野央,54,ダ1400,良,**,1:35.4,2.5,**,8-8-7-7, ,42.3,417(0), , ,ボタングラス, 
2016/07/06,園田,晴,2,C3三, ,10,1,1,172.5,9,6,平原透雄,54,ダ1400,良,**,1:35.8,2.3,**,4-4-6-6, ,42.4,417(-2), , ,キンショーナデシコ, 
2016/06/22,園田,曇,2,C3一, ,10,6,6,67.5,8,9,平原透雄,54,ダ1400,稍,**,1:37.6,4.3,**,6-6-9-10, ,44.3,419(-3), , ,タケルムーン, 
2016/06/08,園田,晴,3,巳々誕生日記念C3一, ,10,7,7,8.9,5,10,田中学,54,ダ1400,稍,**,1:37.0,3.9,**,5-6-8-9, ,44.6,422(-3), , ,デルマグーリンダイ, 
2016/05/25,園田,曇,1,C3三, ,10,2,2,10.8,4,2,板野央,54,ダ1400,良,**,1:34.8,1.0,**,1-1-1-1, ,41.7,425(+4), , ,ディスコナイト,4.8
2016/05/10,園田,曇,1,C3二, ,10,3,3,10.3,5,2,宮下康一,54,ダ1400,不,**,1:31.6,0.0,**,2-2-1-1, ,40.2,421(-1), , ,リュウノグリーン,4.8
2016/04/26,園田,晴,2,C3二, ,10,5,5,27.2,7,6,田中学,54,ダ1400,良,**,1:37.1,1.5,**,1-1-1-3, ,41.5,422(-4), , ,オープンハート, 
2016/04/07,園田,雨,1,C3三, ,9,8,9,21.1,7,8,高畑皓一,54,ダ1400,不,**,1:33.3,1.9,**,6-7-8-9, ,40.4,426(+2), , ,モルフェダイナ, 
2016/03/24,園田,晴,1,C3三, ,10,8,9,186.6,10,5,高畑皓一,54,ダ1400,良,**,1:36.9,0.5,**,2-2-3-4, ,42.9,424(+2), , ,チャモリータ,0.8
2016/03/08,園田,曇,2,C3二, ,10,8,10,22.5,6,5,高畑皓一,54,ダ1400,良,**,1:36.0,1.9,**,4-4-5-6, ,42.3,422(-3), , ,モズスピードスター,0.8
