

コンテント,Shamardal(USA),ゴールデンリーヴス(USA)
コンテンポラリー,キンシャサノキセキ(AUS),トレノトマト
コントラスト,アドマイヤマックス,ワタリレディー
コントラルト,ネオユニヴァース,アグネスヴァーチ
コントルアタック,ネオユニヴァース,サンタママ(USA)
コンドルダンス,アドマイヤオーラ,ラードロチェキラ
コンドルノユメ,カネヒキリ,ユメノアトサキ
コンドルヒデオ,メイショウサムソン,ディアコトミ
コントロヴェント,ディープブリランテ,ラフアップ
コンノートスリー,ゴールドヘイロー,タヤスオドリコ
コンノートヒューズ,ヘニーヒューズ(USA),マンガーノ(USA)
コンパウンダー,アドマイヤムーン,アポセカリー(GB)
コンパッシオーネ,クロフネ(USA),パッシオーネ
コンパッション,ジャングルポケット,パッションレッド
コンバットダイヤ,ホワイトマズル(GB),ハルエサン
コンバットパンチ,トランセンド,コンバットアマゾン
コンバージェンス,ノヴェリスト(IRE),ブルーモーメント
コンピレーション,ファルブラヴ(IRE),アンソロジー
コンファーメント,Shamardal(USA),エミーアウォード(IRE)
コンフィデンス,ネオユニヴァース,コンフィデント(GB)
コンフェイト,キングカメハメハ,マルカキャンディ
コンフェクション,ストリートセンス(USA),アンダンテ
コンフォルツァ,ネオユニヴァース,グレイスフルソング(IRE)
コンプリートベスト,エンパイアメーカー(USA),ミラクルレジェンド
コンプレアンノ,タイムパラドックス,プリンセスパトラ
