日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/02/20,浦和,晴,3,C3　4歳ア, ,11,7,8,43.8,9,8,楢崎功祐,56,ダ1500,良,**,1:41.1,1.9,**,5-5-6-10,30.9-40.7,41.8,445(-11), , ,キンノオウカン, 
2017/02/10,船橋,晴,5,C3二　三ア, ,12,5,6,71.2,11,7,国分祐仁,56,ダ1500,重,**,1:41.2,1.3,**,6-6-4-5,32.9-41.1,42.0,456(+4), , ,コスモライフワーク, 
2017/01/17,浦和,晴,4,C3　4歳イウ, ,9,1,1,17.7,6,6,楢崎功祐,56,ダ1400,稍,**,1:32.9,2.9,**,2-2-5-6,37.2-39.0,41.2,452(+7), , ,マイネルレジストル, 
2016/12/19,浦和,晴,1,3歳二, ,12,2,2,47.3,8,10,矢野貴之,56,ダ1400,稍,**,1:33.0,2.3,**,1-1-1-2,37.8-39.3,41.6,445(-2), , ,スガノラッシュ, 
2016/11/22,浦和,晴,2,3歳二, ,12,1,1,20.8,7,8,見越彬央,56,ダ1500,不,**,1:39.9,1.7,**,8-7-5-5,31.8-39.9,40.5,447(+15), , ,ウィップアロング, 
2016/10/18,浦和,晴,3,3歳四, ,10,3,3,63.8,8,2,矢野貴之,56,ダ1400,重,**,1:32.4,2.0,**,3-2-3-3,37.3-40.1,41.2,432(-10), , ,パテティーク,30.0
2016/09/15,浦和,曇,3,3歳四, ,11,7,9,36.3,6,10,矢野貴之,56,ダ1400,不,**,1:35.0,3.5,**,5-5-6-8,37.6-40.5,43.4,442(+9), , ,コドウ, 
2016/08/26,浦和,晴,2,3歳三, ,12,1,1,76.5,10,12,町田直希,56,ダ1400,稍,**,1:33.0,2.5,**,4-4-10-11,37.9-39.6,40.8,433(+2), , ,フラワーオアシス, 
2016/06/01,浦和,晴,2,3歳五, ,10,2,2,27.8,8,5,矢野貴之,56,ダ1400,稍,**,1:32.7,1.9,**,7-7-7-4,37.2-40.1,40.3,431(+15), , ,ジョーマリリン,11.0
2016/05/10,川崎,曇,3,3歳5　ロ, ,8,3,3,36.0,8,8,見越彬央,56,ダ1500,重,**,1:45.8,5.2,**,6-6-7-8,30.5-43.4,47.7,416(-11), , ,ステルスブルー, 
2016/04/26,浦和,晴,1,3歳六, ,9,1,1,34.2,6,5,矢野貴之,56,ダ1400,良,**,1:32.3,1.7,**,1-1-1-1,37.8-39.2,40.9,427(-11), , ,トーセンクリス,12.0
2016/02/03,浦和,晴,1,3歳五, ,11,6,6,101.0,8,5,町田直希,56,ダ1400,稍,**,1:34.2,1.9,**,9-8-8-8,37.4-41.1,41.3,438(-9), , ,ピースオブドラゴン,13.0
2016/01/07,浦和,晴,2,3歳三, ,11,7,9,113.5,11,5,町田直希,56,ダ1400,良,**,1:33.1,0.9,**,10-10-10-8,38.4-40.0,40.1,447(-5), , ,ハッチャンハッピー,13.0
2015/12/21,浦和,晴,2,2歳三, ,12,5,5,67.3,10,9,笹川翼,55,ダ1400,良,**,1:34.5,2.8,**,9-10-9-10,38.4-39.6,41.6,452(+6), , ,マスオ, 
2015/11/30,浦和,曇,1,2歳三, ,10,7,8,8.3,3,7,笹川翼,55,ダ1400,良,**,1:34.3,2.0,**,3-3-4-4,38.9-39.6,41.6,446(+2), , ,ジャンプショット, 
2015/09/24,浦和,曇,2,2歳三, ,10,1,1,3.7,1,4,矢野貴之,54,ダ1300,良,**,1:26.1,1.2,**,9-9-8-6,31.1-40.8,39.9,444(0), , ,トレンドマーク,18.2
2015/09/01,浦和,雨,1,2歳三, ,9,3,3,3.3,2,2,矢野貴之,54,ダ1300,不,**,1:26.0,0.2,**,1-1-1-1,32.5-39.8,40.0,444(+4), , ,ダークディフェンダ,45.0
2015/08/06,浦和,晴,1,2歳三　未受賞, ,9,7,7,7.0,4,3,矢野貴之,54,ダ1300,良,**,1:26.9,0.3,**,2-2-2-2,31.0-42.2,42.4,440(0), , ,イワミノキセキ,25.5
2015/07/16,浦和,雨,2,ドリームチャレンジ, ,9,8,9,38.0,8,8,須藤優,54,ダ800,不,**,0:50.6,1.8,**,6-7,35.8-37.0,37.9,440(0), , ,キングスベンチ, 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/02/08,園田,晴,8,C1二, ,11,6,6,49.8,4,11,吉村智洋,56,ダ1400,良,**,1:35.1,3.9,**,2-1-3-7, ,41.9,432(-1), , ,バトルラインダンス, 
2018/01/25,園田,晴,12,C1, ,8,4,4,44.3,7,8,青柳正義,56,ダ1230,稍,**,1:24.0,2.5,**,8-8-8-8, ,40.5,433(-3), , ,ジャイアントケンタ, 
2018/01/07,水沢,曇,8,ハルアケボノ賞, ,9,8,9,7.0,4,2,阿部英俊,56,ダ1600,不,**,1:45.3,0.0,**,4-3-4-4, ,40.8,436(-1), , ,ローレルロケッツ,5.2
2017/12/30,水沢,晴,10,エルリッチャー賞, ,11,8,11,6.0,3,8,阿部英俊,56,ダ1600,不,**,1:48.9,2.4,**,3-3-3-3, ,44.0,437(+5), , ,ゲラーデ, 
2017/12/16,水沢,曇,9,アレニコラ賞, ,10,2,2,4.6,3,1,阿部英俊,56,ダ1400,不,**,1:28.9,-0.3,**,3-3-3-3, ,39.6,432(-3), , ,(コスモローイエット),26.0
2017/12/02,水沢,曇,8,マリアベール賞, ,10,7,8,1.9,1,2,阿部英俊,56,ダ1400,重,**,1:30.8,0.8,**,2-2-2-2, ,40.9,435(+7), , ,プレミアムフレンチ,5.2
2017/11/18,水沢,曇,9,キュースト賞, ,11,7,8,15.6,3,3,阿部英俊,56,ダ1400,良,**,1:31.3,0.3,**,3-3-2-1, ,40.1,428(+5), , ,コッコリーノ,2.6
