日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/01/08,1京都3,雨,5,3歳未勝利,,15,2,3,16.5,5,1,シュミノ,56,芝1600,良,**,1:35.8,-0.3,**,3-2,34.6-37.0,36.7,524(+2),, ,(テイエムイキオイ),500.0
2016/12/18,5阪神6,晴,2,2歳未勝利,,12,6,8,19.2,6,5,シュミノ,55,ダ1800,良,**,1:55.4,1.9,**,1-1-1-2,37.0-37.6,39.5,522(-2),, ,デフィ,50.0
2016/12/04,5阪神2,曇,2,2歳未勝利,,12,6,8,9.1,5,6,川田将雅,55,ダ1800,良,**,1:55.2,0.7,**,1-1-1-1,37.7-38.4,39.1,524(-2),, ,ワイドコマンダー, 
2016/11/12,5京都3,晴,2,2歳未勝利,,14,7,11,5.4,3,8,福永祐一,55,ダ1800,稍,**,1:54.9,2.7,**,7-7-9-9,35.8-38.3,39.4,526(0),,,サトノクリエション, 
2016/10/23,4京都7,曇,5,2歳新馬,,11,7,8,8.2,5,5,福永祐一,55,芝2000,良,**,2:02.8,0.7,**,3-3-3-2,37.0-35.3,35.7,526(0),, ,ベストアプローチ,70.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2017/10/15,佐賀,雨,9,錦秋賞, ,11,5,5,1.5,1,1,石川慎将,54,ダ1400,不,**,1:30.7,-0.4,**,1-1-1-1, ,39.6,464(-6), , ,(ビヘーヴ),23.0
2017/10/01,佐賀,曇,8,ヒヨドリ賞, ,8,3,3,2.6,2,3,石川慎将,54,ダ1400,良,**,1:31.3,0.6,**,1-1-1-1, ,40.1,470(+8), , ,ゼットウオリア,2.1
2017/08/20,佐賀,晴,10,長崎街道中原宿特選, ,11,1,1,1.9,1,1,石川慎将,54,ダ900,良,**,0:54.9,-0.3,**,1-1, ,36.4,462(+1), , ,(タイセイマスタング),30.0
2017/08/06,佐賀,曇,10,オーガスト特選, ,10,1,1,9.0,3,2,石川慎将,54,ダ1400,良,**,1:31.6,0.2,**,1-1-1-1, ,39.6,461(+4), , ,デリッツァリモーネ,8.1
2017/07/09,佐賀,曇,8,ブライトC, ,9,7,7,2.0,1,1,的場文男,54,ダ1400,不,**,1:29.2,-0.9,**,1-1-1-1, ,37.4,457(-7), , ,(キンノシャチホコ),23.0
2017/06/25,佐賀,雨,8,レインボーC, ,11,7,9,6.6,2,6,鮫島克也,54,ダ1400,不,**,1:30.3,1.5,**,1-1-1-1, ,40.8,464(+10), , ,キタサンシリーズ, 
2017/05/14,佐賀,晴,9,エメラルド特選, ,8,3,3,2.0,1,5,石川慎将,54,ダ900,重,**,0:55.2,1.3,**,1-2, ,37.2,454(-8), , ,カシノシュウセイ,1.1
2017/01/02,佐賀,曇,9,頌春賞, ,9,5,5,2.9,2,3,石川慎将,54,ダ1400,不,**,1:30.8,0.2,**,1-1-1-1, ,38.6,462(+2), , ,レアファルコン,1.4
2016/12/13,佐賀,雨,6,C1ー4組, ,10,2,2,6.5,3,3,石川慎将,54,ダ1400,重,**,1:30.4,0.3,**,1-1-1-1, ,39.6,460(+4), , ,エフケーパンプキン,1.4
2016/11/13,佐賀,曇,9,長崎街道北方宿特選, ,11,1,1,4.3,2,3,石川慎将,54,ダ1400,不,**,1:29.8,0.6,**,1-1-1-1, ,39.4,456(-1), , ,ネオリアライズ,2.2
2016/10/23,佐賀,曇,8,夕日に愛されたまち玄, ,8,8,8,4.0,2,1,石川慎将,54,ダ1400,不,**,1:29.7,-0.5,**,1-1-1-1, ,37.8,457(-2), , ,(ロードエストレーラ),16.0
2016/10/09,佐賀,晴,8,オッズパーク杯, ,7,7,7,1.6,1,6,石川慎将,54,ダ1400,不,**,1:31.7,1.2,**,1-1-1-2, ,40.4,459(+2), , ,マイネカグヤヒメ, 
2016/10/02,佐賀,晴,11,ロータスクラウン賞(OP), ,11,7,9,17.4,5,7,兒島真二,54,ダ1800,不,**,1:59.0,2.5,**,1-1-1-2, , ,457(-4), , ,ドンプリムローズ, 
2016/09/11,佐賀,曇,10,佐賀城特選, ,11,2,2,6.7,4,2,石川慎将,54,ダ1750,稍,**,1:55.2,0.2,**,1-1-1-1, ,40.1,461(+2), , ,ウインヴォルケーノ,8.7
2016/08/28,佐賀,雨,10,バルーン特選, ,8,7,7,4.0,2,2,石川慎将,54,ダ1750,不,**,1:54.7,0.1,**,1-1-1-1, ,38.5,459(+5), , ,スラッシュ,8.1
