

ドアトゥブリス,グランプリボス,スイートスズラン
トモジャバルジャン,ダノンシャンティ,シフォンベール
トモジャパルムドル,ケープブランコ(IRE),シルクヴィーナス
トモジャバロンド,サウスヴィグラス(USA),オペラガール
トモジャファイブ,ジャスタウェイ,ジューシージーン(GB)
トモジャプリマ,ブラックタイド,クイーンオブハルカ
トモジャポルックス,ゴールドアリュール,ビジューブリアン
トモノコテツ,ブラックタイド,ベネラ
トモノセンス,ストリートセンス(USA),アスターフォーマリア(USA)
トモノタイガ,ザール(GB),ホロトラストシーン
トモノチャイルド,モルフェデスペクタ(USA),ホロトラストシーン
トモノブラック,マヤノトップガン,ゲイリーブリリアン
トモノマックス,ノボジャック(USA),クリーマックス
トラヲサイゴニ,エンパイアメーカー(USA),シェアエレガンス
ドライヴシャフト,トワイニング(USA),ノブレスオブリッジ
ドライヴスター,カジノドライヴ(USA),ケイエムサウザー
ドライヴナイト,カジノドライヴ(USA),カウントオンミー
ドライサンプ,ニューイングランド,エデン
トライデントミノル,ディープスカイ,アンジェラスキッス(USA)
ドライトウショウ,マーベラスサンデー,ザップトウショウ
ドライバーズハイ,カジノドライヴ(USA),ポレモス
トライブキング,ディープインパクト,ブロームフォンテン(IRE)
トライン,ディープインパクト,マルケサ(USA)
トラヴィス,ステイゴールド,スターフェスタ
トラキアンコード,マンハッタンカフェ,レッドルンバ(IRE)
トラキチシャチョウ,マヤノトップガン,タイキプレリュード(USA)
トラクスタン,ブラックタイド,レスティヴコマンダ
ドラグーン,パイロ(USA),アーキオロジー(USA)
ドラグーンシチー,ロードカナロア,メイショウアンデス
ドラゴンイモン,ダンスインザダーク,エンディアメント
ドラゴンウィザード,ティンバーカントリー(USA),グレイスマジック
ドラゴンウィスカー,スマートボーイ,ヘヴンズカーニバル
ドラゴンエアル,タイムパラドックス,シルクアウローラ
ドラゴンオサム,クロフネ(USA),リンガスマドンナ
ドラゴンカップ,ステイゴールド,シルヴァーカップ(IRE)
ドラゴンカントリー,ティンバーカントリー(USA),ミホダイリン
ドラゴンクイン,シルバーチャーム(USA),サクラマシェリ
ドラゴンゲート,メイショウボーラー,デュークタイフーン
ドラゴンシュバリエ,ダイワメジャー,シェルズレイ
ドラゴンズタイム,ブライアンズタイム(USA),ジョウノオーロラ
ドラゴンストリート,ディープインパクト,フィラストリート(USA)
ドラゴンストーム,ハーツクライ,ストームホイッスル
ドラゴンダナ,ゼンノロブロイ,シーガルサリー
ドラゴンチャンプ,ゼンノドラゴン(USA),サダムヴィーナス
ドラゴンテリー,ディープインパクト,コージーロージー(USA)
ドラゴンバローズ,キングカメハメハ,ポーリッシュピンク(IRE)
ドラゴンハート,オウケンブルースリ,アルフィルク
ドラゴンブラック,バブルガムフェロー,レジェルマン
ドラゴンホマレ,トーセンホマレボシ,プラチナチャリス(GB)
ドラゴンボーテ,タニノギムレット,フサイチアイビー(USA)
ドラゴンボート,ロードアルティマ(USA),トミーラヴ
ドラゴンホール,ストロングリターン,サンゴノウミヲ
ドラゴンマジック,ステイゴールド,マジカルウーマン
ドラゴンマッチョ,Macho Uno(USA),ジュエルオブジュエルズ(USA)
ドラゴンランス,ドリームジャーニー,カレイジャスミン
トラジェクトリー,バゴ(FR),ミスティーダンス
ドラジュワール,キングズベスト(USA),パーカーズミル
トラスト,スクリーンヒーロー,グローリサンディ
