name,age,evaluation,venue,race_name,heads,horsenumber,popularity,horseman,distance,course_status,horse_weight,horse_weight_ratio,winning_percentage,order
アドマイヤエイカン,5,3.17,5中山8,ホープフルS(G2),12,1,4,岩田康誠,2000,良,492,-10,0.444444444444,0
アドマイヤエイカン,5,3.17,5京都8,ラジオN杯京都2歳S(G3),12,3,1,岩田康誠,2000,良,502,+10,0.444444444444,1
アドマイヤエイカン,5,3.17,2札幌5,札幌2歳S(G3),14,11,2,岩田康誠,1800,稍,492,-4,0.444444444444,1
アドマイヤゴッド,6,2.88,4阪神2,産経賞セントウルS(G2),14,1,8,北村友一,1200,良,494,-2,0.3125,0
アドマイヤダイオウ,5,3.27,3中山8,皐月賞(G1),18,4,7,福永祐一,2000,良,486,-2,0.8,0
アドマイヤツヨシ,8,0.00,2阪神1,毎日杯(G3),13,13,8,小牧太,1800,良,450,+2,0.208333333333,0
アドマイヤメテオ,7,3.44,1阪神1,アーリントンC(G3),10,7,4,リスポリ,1600,良,454,+4,0.428571428571,0
アドマイヤモラール,5,3.17,3中山8,皐月賞(G1),18,17,17,内田博幸,2000,良,500,-10,0.4,0
アドマイヤモラール,5,3.17,2中山7,フジTVスプリングS(G2),11,3,7,田辺裕信,1800,良,510,-2,0.4,0
アドマイヤモラール,5,3.17,1中山6,京成杯(G3),15,10,10,田辺裕信,2000,良,512,+12,0.4,0
アドマイヤモラール,5,3.17,5阪神6,朝日フューチュリティ(G1),16,3,9,田辺裕信,1600,良,500,0,0.4,0
アドマイヤモラール,5,3.17,5東京1,京王杯2歳S(G2),18,15,6,田辺裕信,1400,良,500,-4,0.4,1
アドマイヤランディ,7,2.75,4京都7,菊花賞(G1),18,11,18,藤岡康太,3000,良,512,+4,0.34375,0
アドマイヤリリーフ,9,3.00,5東京5,東京スポーツ杯2歳S(G3),15,11,11,ベリー,1800,不,458,0,0.25,0
アドマイヤリリーフ,9,3.00,4新潟8,新潟2歳S(G3),18,6,6,田辺裕信,1600,良,458,0,0.25,0
アドマイヤリード,5,3.75,1東京4,東京新聞杯(G3),16,1,6,藤岡康太,1600,良,428,0,0.529411764706,0
アドマイヤリード,5,3.75,4東京4,アイルランド府中牝馬(G2),14,7,2,戸崎圭太,1800,稍,428,+4,0.529411764706,1
アドマイヤリード,5,3.75,1札幌2,クイーンS(G3),13,12,1,ルメール,1800,良,424,+2,0.529411764706,0
アドマイヤリード,5,3.75,2東京8,ヴィクトリアマイル(G1),17,5,6,ルメール,1600,稍,422,-4,0.529411764706,1
アドマイヤリード,5,3.75,2阪神5,サンスポ杯阪神牝馬S(G2),16,16,3,ルメール,1600,重,426,-4,0.529411764706,1
アドマイヤリード,5,3.75,4阪神4,関西TVローズS(G2),15,13,5,ルメール,1800,重,424,+20,0.529411764706,0
アドマイヤリード,5,3.75,2東京10,優駿牝馬(G1),18,6,9,岩田康誠,2400,良,404,-8,0.529411764706,0
アドマイヤリード,5,3.75,2阪神6,桜花賞(G1),18,17,13,藤岡康太,1600,良,412,0,0.529411764706,0
アドマイヤリード,5,3.75,1阪神3,チューリップ賞(G3),16,4,11,菱田裕二,1600,良,412,+14,0.529411764706,0
アドマイヤリード,5,3.75,5阪神4,阪神ジュベナイルF(G1),18,1,6,菱田裕二,1600,良,398,-6,0.529411764706,0
アドマイヤリード,5,3.75,5京都1,KBSファンタジーS(G3),12,4,3,川田将雅,1400,良,404,+6,0.529411764706,0
アドマイヤローザ,4,3.70,2東京2,サンスポ賞フローラS(G2),18,9,4,岩田康誠,2000,良,458,-2,0.454545454545,0
アドミラブル,4,4.21,2東京12,東京優駿(G1),18,18,1,Ｍ．デム,2400,良,514,+4,0.8,1
アドミラブル,4,4.21,2東京3,テレビ東京杯青葉賞(G2),12,10,1,Ｍ．デム,2400,良,510,-4,0.8,1
アトムアストレア,3,0.00,1東京6,デイリー杯クイーンC(G3),16,3,16,横山典弘,1600,良,460,+2,0.5,0
アピールバイオ,4,2.50,4東京8,アルテミスS(G3),18,10,6,内田博幸,1600,良,446,+4,0.416666666667,0
アピールバイオ,4,2.50,2新潟10,新潟2歳S(G3),15,8,8,木幡巧也,1600,良,442,+4,0.416666666667,0
アフェクシオン,6,2.17,2中山7,フラワーC(G3),16,6,11,柴田大知,1800,良,426,-4,0.0909090909091,0
アフェクトダンサー,29,0.00,5中山7,テレビ東京3歳牝馬S(G3),12,9,3,鹿戸雄一,1200,良,452,+2,0.625,0
アフターミー,30,0.00,3東京4,東京優駿(G1),20,6,18,蓑田早人,2400,良,442,-6,0.357142857143,0
アフターミー,30,0.00,2東京6,NHK杯(G2),16,8,11,柴田政人,2000,良,448,0,0.357142857143,0
アフターミー,30,0.00,3中山8,皐月賞(G1),18,4,8,柴田政人,2000,稍,448,-2,0.357142857143,0
アフターミー,30,0.00,3中山2,フジTVスプリングS(G2),12,9,5,蓑田早人,1800,稍,450,+4,0.357142857143,1
アフリカンハンター,10,0.00,盛岡,クラスターC(G3),14,7,10,関本淳,1200,良,511,-1,0.294117647059,0
アポロケンタッキー,6,3.83,川崎,川崎記念【指定交流】(G1),10,7,4,内田博幸,2100,稍,575,+3,0.625,1
アポロケンタッキー,6,3.83,大井,東京大賞典競走(G1),16,5,6,内田博幸,2000,良,572,+9,0.625,0
アポロケンタッキー,6,3.83,大井,JBCクラシック競走(G1),13,10,2,内田博幸,2000,重,563,0,0.625,0
アポロケンタッキー,6,3.83,船橋,日本テレビ盃(G2),11,11,4,内田博幸,1800,稍,563,-4,0.625,1
